M1,M2,M3,M4,M5,M6,M7,M8
0.22842396918914012,-0.2924085684630616,-0.07573927867867895,-0.1578319237114693,0.3362785171444389,-0.2585344097363296,-0.11400918741459912,-0.0741324663047557
0.7016135934332408,-0.773340516700264,-0.11332673249708614,-0.2683518333879746,0.979202167051329,-0.9048789439392108,-0.05225629813026448,-0.9352770618779901
0.9427664936221347,-0.9007916598045936,-0.012444117413138738,-0.8120944870504665,0.5559495049718514,-0.5069992524413485,-0.026666327543421173,-0.044776610336572924
0.8121030313771088,-0.8478981630071071,-0.03887507631936445,-0.4618979799610656,0.5228280954537937,-0.41035864049935,-0.23354356533614332,-0.08363728806933367
0.22427262942679183,-0.2654334936398691,-0.03309553261278069,-0.14671948111397715,0.5253113248923305,-0.5893502785779715,-0.15447727212775095,-0.06252853634153314
0.6976584956796501,-0.5878866645133588,-0.16269340173763322,-0.2807948985051709,0.47216410344901966,-0.25703100077287006,-1.0,-0.2840647401086607
0.9516198610744898,-0.9605187173945144,-0.009284127174881618,-0.8391220700900018,0.05615801356024826,-0.05776756206416966,-0.00025697781956885037,-0.5070848841001827
0.9764829455320362,-0.9902237269843944,-0.013843519285650642,-0.9227896503707697,0.9525660936275462,-0.889830016596413,-0.030593020931011808,-0.8389321654172354
1.0,-1.0,-0.003986579217506914,-1.0,1.0,-1.0,-0.02051198348676254,-1.0
0.35073633978396085,-0.45310916802737844,-0.1930646321855589,-0.09486703218900036,0.26852580833027756,-0.3233127889261819,-0.09631409742049224,-0.13444090886744992
0.05541372916009279,-0.03444994686946906,-0.006714872235191609,-0.44245809932743696,0.30403697791965945,-0.26773640724097614,-0.018660015351889166,-0.07453181895054087
0.3324495238753907,-0.30992483423572253,-0.005014668851509318,-0.03278235680982343,0.43527965315674816,-0.5301273119004093,-0.28412466496765465,-0.08087702053847648
0.9787306513592137,-0.9729704541479476,-0.0014683697607353917,-0.9256221013064122,0.6724042478232423,-0.554438896790211,-0.23923365999725102,-0.2306661801821033
0.5699689211444281,-0.6002537158391112,-0.025414957052911497,-0.06852787555543219,0.8514708842921133,-0.9015836635087078,-0.1373727314542915,-0.568972624346455
0.4254881195779499,-0.26728635973093007,-0.3818320371036479,-0.1470577534404738,0.5984286361381334,-0.6670069156812319,-0.18150562739160117,-0.12410586817763035
0.2595711204381297,-0.25836757986495434,-0.00013187826436668803,-0.0924151890587569,0.2972901073459733,-0.24538383623708737,-0.04623062493288117,-0.08889673287799184
0.7119020346060246,-0.5662382605357821,-0.3011154981341147,-0.35810319418529,0.6362540713099372,-0.49443564122247,-0.37536002692797604,-0.22051104942150804
0.5920007607619723,-0.5935069682489224,-0.0018937705984857051,-0.07977841421424331,0.7845153613310037,-0.8375790271612976,-0.14114524881299167,-0.4081711925720921
0.012375349583093791,-0.01803076166243878,-0.0005679361492547594,-0.5463062056214887,0.5281702292875478,-0.3557733304414349,-0.6082367620511149,-0.19210327702709248
0.5369648190812935,-0.28329275667238185,-1.0,-0.41873093514019755,0.9867030837701228,-0.9566058131522318,-6.473141707465357e-05,-0.9467887221877429
